,Date,Annee,Mois,Concateniser,Payor,Payee,Deposit,Withdrawal,General Leader Number,Debit,Credit,Category,Memo Field,Classification,Retained Copy-only notes,TPS 5%,TVQ 9.5%,0.9132420091,0.9523809524,,,
,2012-12-23,2012,12,2012-12Traveling Credit,Employee1 Employee1,Metro-North Railroad,,36.75,,,Traveling Credit,,Travel for interview / Partnership NYC,,,,,,,,,
,2012-12-23,2012,12,2012-12Traveling Credit,Employee1 Employee1,Imperial parking cie ,,16,,,Traveling Credit,,Travel for interview / Partnership NYC,,,,,,,,,
,2012-12-30,2012,12,2012-12Traveling Credit,Employee1 Employee1,STM Carte Opus,,83,,,Traveling Credit,,,,,,,,,,,
,2012-12-30,2012,12,2012-12Representation Credit,Employee1 Employee1,Click Imprimerie,,34.5,,,Representation Credit,,,,,,,,,,,
,2012-12-06,2012,12,2012-12Representation Credit,Employee1 Employee1,Restaurant Pho Bac,,8,,,Representation Credit,,,,,,,,,,,
,2012-12-30,2012,12,2012-12Traveling Credit,Employee1 Employee1,STM Carte Opus,,24,,,Traveling Credit,,,,,,,,,,,
,2012-11-24,2012,11,2012-11Representation Credit,Employee1 Employee1,Restaurant Bonnys cuisine,,18.45,,,Representation Credit,,,,,,,,,,,
,2012-11-22,2012,11,2012-11Representation Credit,Employee1 Employee1,Le vieux dublin,,8.25,,,Representation Credit,,,,,,,,,,,
,2012-11-30,2012,11,2012-11Representation,Employee1 Employee1,Transfert Credit to expense,,26.7,,Representation Credit,Representation,,,,,,,,,,,
,2012-11-30,2012,11,2012-11Owners' investment,Employee1 Employee1,Employee1 Credit card payment,26.7,,,,Owners' investment,,,,,,,,,,,
,2012-12-30,2012,12,2012-12Representation,Employee1 Employee1,Transfert Credit to expense,,72.64,,Representation Credit,Representation,,,,,,,,,,,
,2012-12-30,2012,12,2012-12Owners' investment,Employee1 Employee1,Employee1 Credit card payment,72.64,,,,Owners' investment,,,,,,,,,,,
,2012-12-20,2012,12,2012-12Office food Credit,Employee1 Employee1,IGA,,9.12,,,Office food Credit,,,,,,,,,,,
,2012-12-11,2012,12,2012-12Representation Credit,Employee1 Employee1,Restaurant M.G.,,9.48,,,Representation Credit,,,,,,,,,,,
,2013-01-07,2013,1,2013-1Representation Credit,Employee1 Employee1,Restaurant Mai Xiang Yuan,,20.66,,,Representation Credit,,,,,,,,,,,
,2012-12-30,2012,12,2012-12Traveling,Employee1 Employee1,Transfert Credit to expense,,255.85,,Traveling Credit,Traveling,,,,,,,,,,,
,2012-12-03,2012,12,2012-12Owners' investment,Employee1 Employee1,Employee1 Credit card payment,255.85,,,,Owners' investment,,,,,,,,,,,
,2012-12-30,2012,12,2012-12Office food,Employee1 Employee1,Transfert Credit to expense,,9.12,,Office food Credit,Office food,,,,,,,,,,,
,2012-12-03,2012,12,2012-12Owners' investment,Employee1 Employee1,Employee1 Credit card payment,9.12,,,,Owners' investment,,,,,,,,,,,
